scope,config,scenario_id,run_index,brake_activated,first_brake_s,first_brake_gap_m,preimpact_speed_kph,collision_tick_speed_kph,preimpact_elapsed_s,note
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,5,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,1,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,2,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,3,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,4,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,5,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,1,False,,,59.945,16.663,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,2,False,,,59.945,16.663,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,3,False,,,59.945,16.663,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,4,False,,,59.945,16.663,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,5,False,,,59.945,16.663,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,1,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,2,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,3,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,4,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,5,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,1,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,2,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,3,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,4,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,5,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,1,True,1.05,4.295,54.932,15.017,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,2,True,1.05,4.295,54.932,15.017,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,3,True,1.05,4.295,54.932,15.017,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,4,True,1.05,4.295,54.932,15.017,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,5,True,1.05,4.295,54.932,15.017,1.3,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,1,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,2,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,3,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,4,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,5,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
